nombre de tienda,configuración,cuota mensual (€)
LM ALMADA,A3/A3/A3/A3/A3/A3/A3/A3/A3/A3/A3/A3/A3/TC/A3/A3/A3/A3/A3/D7/D7/D7/D7/D7,946.77
LM ALMADA PALETS (nuevo),BL/BL/ BL/BL/BL/BL/BL/BL/BL/BL/TC/BL/BL/BL/BL/BL/BL/BL/BL/BL/BL/BL/BL,3048.7
LM AMADORA EXTERIOR,A1/A1/A1/A1/A1/A1/A3/A3/A3/TC/A3/A3/A3/A3/A3/A3/A3/A3/A3/D7,545.23
LM AMADORA PALETS,TC/BL/BL/BL/BL,797.22
LM AMADORA PALETS B (NUEVO),TC/BL/BL/BL/BL/BL/BL,1109.98
LM ALFRAGIDE EXTERIOR A,A1/A1/A1/A1/A3/A3/A3/A3/A3/TC/A3/A3/A3/A3/A3/A3/A3/D7,478.44
LM ALFRAGIDE EXTERIOR B,D7/A1/A1/A1/A1/TC/A3/A3/A3/A3/A3/A3/A3,692.72
LM ALFRAGIDE PALETS A,TC/JL/JL/JL/JL/JL/JL/JL/JL/JL/JL/JL/JL/JL/JL/JL,525.63
LM ALFRAGIDE PALETS B,TC/JL/JL/JL/JL/JL/JL/JL/JL/JL/JL,475.06
LM SINTRA,A1/A1/A1/A3/A3/TC/A3/A3/A3/A3/A3/A3/A3/D7/D7/D7/D7,522.85
 LM SINTRA PALETS,BL/BL/ BL/BL/BL/BL/BL LM/BL LM/BL LM /BL LM/TC,1109.95
LM MAIA EXTERIOR,A3/A3/A3/A3/A3/TC/D7/D7/D7/A1/A1/A1/A1,399.28
LM MAIA PALETS,TC/BL/BL/BL/BL/BL/BL/BL/BL/BL/BL/BL,1891.79
LM CALDAS DA RAINHA,BL/BL/BL/BL/BL/BL/BL/BL/1/1/TC/A3/A3/A3/A3/D7/D7/D7,1424.94
LM COIMBRA,BL/BL/BL/BL/A3/A3/A3/A3/A3/A3/A3/A3/A3/TC/A3/A3/A3/D7/D7/D7/D7,1174.05
LM ALTA DE LISBOA EXTERIOR,A1/A3/A3/A3/TC/A3/A3/D7,260.56
LM ALTA DE LISBOA PALET,TC/BL/BL/BL/BL/BL/BL,640.86
LM LEIRIA,BL/BL/BL/BL/A1/A1/A1/A3/A3/A3/A3/A3/A3/TC/A3/A3/A3/A3/A3/D7/D7/D7/D7/A1/A1/A1,1256.24
LM BRAGA EXTERIOR,A3/A3/A3/A3/A3/A3/TC/A1/A1/D7/D7/D7,363.41
LM BRAGA PALETS,BL/BL/BL/BL/BL/BL/TC,1109.96
LM GAIA EXTERIOR,A1/A1/A3/A3/A3/A3/TC/D7/D7/D7/D7/A1/A1/A3/A3,486.34
LM GAIA PALET,TC/BL/BL/BL/BL,797.22
LM GONDOMAR,A3/A3/A3/A3/A3/A3/TC/A1/A1/D7/D7/A1/A1/JL/JL/JL/JL/JL,489.77
LM SETUBAL,BL/BL/BL/BL/BL/BL/JL/JL/BL/BL/BL/BL/A3/A3/A3/A3/A3/TC/D7/D7/D7/D7,1844.83
LM SANTAREM,A1/A1/A1/A3/A3/TC/A3/A3/D7/D7,309.98
LM SANTAREM PALETS,BL/BL/BL/TC,640.86
LM VISEU,A1/A3/A3/A3/A3/TC/D7/D7/D7/BL/BL/BL,721.28
LM AVEIRO,A1/A1/A3/A3/A3A3/A3/A3/A3/TC/D7/D7/BL/BL/BL/BL/BL/BL/BL/BL,1690.34
LM GUIMARAES EXTERIOR,A1/A1/A3/TC/A3/A3/D7/D7/D7/A3,332.17
LM GUIMARAES PALET,TC/BL/BL,484.49
LM PENAFIEL,A3/A3/A3/A3/A3/A3/A3/TC/D7/D7/D7//A1/A1/A1/BL/BL,743.38
LM TORRES VEFRAS,D7/A1/A1/A1/A1/A3/A3/TC/A3/A3/D7,346.56
LM ALBUFEIRA EXTERIOR,A3/A3/A3/A3/TC/D7/D7/D7/D7,241.68
LM ALBUFEIRA PALETS,TC/BL/BL,484.49
LM MAFRA,JL/A1/A1/A3/TC/A3/A3/A3/D7,303.69
LM MONTIJO,A3/A3/A3/TC/D7/A1/D7,193.46
LM MONTIJO PALETS,A3/A3/D7/TC/BL/BL/BL/BL,932.38
LM LOULE,A3/A3/A3/TC/A3/D7/D7/BL/BL/BL,641.58
LM EVORA,A3/A3/A3/TC/D7/D7/D7/A3,218.86
LM EVORA PALETS,TC/BL/BL/BL/BL/BL,953.6
LM PORTIMAO EXTERIOR,A1/A1/A3/A3/TC/A3/A3/D7,349.17
LM PORTIMAO PALETS,TC/BL/BL/BL/BL/BL/BL/BL,1266.32
LM BARCELOS,A3/A3/A3/TC/D7/D7/D7,195.77
LM GUARDA,A3/A3/A3/TC/A3/A1/A1,269.59
LM VIANA DO CASTELO,A3/A3/A3/TC/D7/D7/D7,221.94
LM VIANA DO CASTELO PALETS,TC/A1/A1/BL/BL/BL/BL,891.2
LM LOURES,A3/A3/A3/TC/A1/D7,214
